Node,Full_Bandwidth,Average_Delay_Time_Per_Sec,Packet Size_Byte,Packet_Transmitted,Packet_lost,Transmitted_Byte,AVG-Drop-Rate,AVG-Bandwith-Use,Node Status,Flood Status,Class
3,900,0.000414,1440,81276,27167,117037440,0.217266,0.655817,B,0.036935,NB-No Block
3,900,0.000414,1440,81276,27167,117037440,0.217266,0.655817,?,0.036935,NB-No Block
3,800,0.000418,1440,72228,48434,104008320,0.536457,0.294451,NB,0.30578,NB-Wait
3,800,0.000418,1440,72228,48434,104008320,0.536457,0.294451,NB,0.30578,NB-Wait
3,800,0.000418,1440,72228,48434,104008320,0.536457,0.294451,NB,0.30578,NB-Wait
3,800,0.000418,1440,72228,48434,104008320,0.536457,0.294451,NB,0.30578,NB-Wait
3,800,0.000418,1440,72228,48434,104008320,0.536457,0.294451,NB,0.30578,NB-Wait
3,800,0.000418,1440,72228,41976,104008320,0.488174,0.361546,NB,0.302668,NB-Wait
3,800,0.000418,1440,72228,41976,104008320,0.488174,0.361546,NB,0.302668,NB-Wait
3,800,0.000418,1440,72228,41976,104008320,0.488174,0.361546,NB,0.302668,NB-Wait
3,800,0.000418,1440,72228,41976,104008320,0.488174,0.361546,NB,0.302668,NB-Wait
3,800,0.000418,1440,72228,41976,104008320,0.488174,0.361546,NB,0.302668,NB-Wait
3,700,0.000418,1440,63284,21266,91128960,0.278914,0.654734,P NB,0.092042,NB-No Block
3,700,0.000418,1440,63284,21266,91128960,0.278914,0.654734,P NB,0.092042,NB-No Block
3,700,0.000418,1440,63284,21266,91128960,0.278914,0.654734,P NB,0.092042,NB-No Block
3,700,0.000418,1440,63284,21266,91128960,0.278914,0.654734,P NB,0.092042,NB-No Block
3,700,0.000418,1440,63284,21266,91128960,0.278914,0.654734,P NB,0.092042,NB-No Block
3,800,0.000419,1440,72228,32280,104008320,0.290497,0.499912,P NB,0.110389,NB-No Block
3,800,0.000419,1440,72228,32280,104008320,0.290497,0.499912,P NB,0.110389,NB-No Block
3,800,0.000419,1440,72228,32280,104008320,0.290497,0.499912,P NB,0.110389,NB-No Block
3,800,0.000419,1440,72228,32280,104008320,0.290497,0.499912,P NB,0.110389,NB-No Block
3,800,0.000419,1440,72228,32280,104008320,0.290497,0.499912,P NB,0.110389,NB-No Block
?,700,0.000419,1440,63284,13950,91128960,0.185165,0.776664,B,0.037033,NB-No Block
3,700,0.000419,1440,63284,13950,91128960,0.185165,0.776664,B,0.037033,NB-No Block
3,700,0.000419,1440,63284,13950,91128960,0.185165,0.776664,B,0.037033,NB-No Block
3,700,0.000419,1440,63284,13950,91128960,0.185165,0.776664,B,0.037033,NB-No Block
3,700,0.000419,1440,63284,13950,91128960,0.185165,0.776664,B,0.037033,NB-No Block
3,800,0.00042,1440,72228,52438,104008320,0.508205,0.244901,NB,0.391318,Block
3,800,0.00042,1440,72228,52438,104008320,0.508205,0.244901,NB,0.391318,Block
3,800,0.00042,1440,72228,52438,104008320,0.508205,0.244901,NB,0.391318,Block
3,800,0.00042,1440,72228,52438,104008320,0.508205,0.244901,NB,0.391318,Block
3,800,0.00042,1440,72228,52438,104008320,0.508205,0.244901,NB,0.391318,Block
?,700,0.00042,1440,63284,46727,91128960,0.561161,0.231432,NB,0.432094,Block
?,700,0.00042,1440,63284,46727,91128960,0.561161,0.231432,NB,0.432094,Block
?,700,0.00042,1440,63284,46727,91128960,0.561161,0.231432,NB,0.432094,Block
9,700,0.00042,1440,63284,46727,91128960,0.561161,0.231432,NB,0.432094,Block
9,700,0.00042,1440,63284,46727,91128960,0.561161,0.231432,NB,0.432094,Block
3,600,0.000421,1440,54184,30158,78024960,0.378478,0.400934,P NB,0.128682,NB-Wait
3,600,0.000421,1440,54184,30158,78024960,0.378478,0.400934,P NB,0.128682,NB-Wait
3,600,0.000421,1440,54184,30158,78024960,0.378478,0.400934,P NB,0.128682,NB-Wait
3,600,0.000421,1440,54184,30158,78024960,0.378478,0.400934,P NB,0.128682,NB-Wait
3,600,0.000421,1440,54184,30158,78024960,0.378478,0.400934,P NB,0.128682,NB-Wait
3,700,0.000421,1440,63284,25233,91128960,0.307019,0.519517,P NB,0.092106,NB-No Block
3,700,0.000421,1440,63284,25233,91128960,0.307019,0.519517,P NB,0.092106,NB-No Block
3,700,0.000421,1440,63284,25233,91128960,0.307019,0.519517,P NB,0.092106,NB-No Block
3,700,0.000421,1440,63284,25233,91128960,0.307019,0.519517,P NB,0.092106,NB-No Block
3,700,0.000421,1440,63284,25233,91128960,0.307019,0.519517,P NB,0.092106,NB-No Block
9,600,0.000421,1440,54184,6224,78024960,0.09534,0.8811,B,?,No Block
?,600,0.000421,1440,54184,6224,78024960,0.09534,0.8811,B,?,No Block
?,600,0.000421,1440,54184,6224,78024960,0.09534,0.8811,B,?,No Block
?,600,0.000421,1440,54184,6224,78024960,0.09534,0.8811,B,?,No Block
?,600,0.000421,1440,54184,6224,78024960,0.09534,0.8811,?,?,No Block
3,700,0.000422,1440,63284,32164,91128960,0.376104,0.430883,P NB,0.142919,NB-Wait
3,700,0.000422,1440,63284,32164,91128960,0.376104,0.430883,P NB,0.142919,NB-Wait
3,700,0.000422,1440,63284,32164,91128960,0.376104,0.430883,P NB,0.142919,NB-Wait
3,700,0.000422,1440,63284,32164,91128960,0.376104,0.430883,P NB,0.142919,NB-Wait
3,700,0.000422,1440,63284,32164,91128960,0.376104,0.430883,P NB,0.142919,NB-Wait
3,500,0.000422,1440,45188,28064,65070720,0.447156,0.339055,NB,0.415855,Block
3,500,0.000422,1440,45188,28064,65070720,0.447156,0.339055,NB,0.415855,Block
3,500,0.000422,1440,45188,28064,65070720,0.447156,0.339055,NB,0.415855,Block
3,500,0.000422,1440,45188,28064,65070720,0.447156,0.339055,NB,0.415855,Block
3,500,0.000422,1440,45188,28064,65070720,0.447156,0.339055,NB,0.415855,Block
3,700,0.000423,1440,63284,36437,91128960,0.443343,0.375113,NB,0.230538,NB-Wait
3,700,0.000423,1440,63284,36437,91128960,0.443343,0.375113,NB,0.230538,NB-Wait
3,700,0.000423,1440,63284,36437,91128960,0.443343,0.375113,NB,0.230538,NB-Wait
3,700,0.000423,1440,63284,36437,91128960,0.443343,0.375113,NB,0.230538,NB-Wait
3,700,0.000423,1440,63284,36437,91128960,0.443343,0.375113,NB,0.230538,NB-Wait
3,700,0.000423,1440,63284,6495,91128960,0.08108,0.86671,B,?,No Block
3,700,0.000423,1440,63284,6495,91128960,0.08108,0.86671,B,?,No Block
3,700,0.000423,1440,63284,6495,91128960,0.08108,0.86671,B,?,No Block
3,700,0.000423,1440,63284,6495,91128960,0.08108,0.86671,B,?,No Block
3,700,0.000423,1440,63284,6495,91128960,0.08108,0.86671,B,?,No Block
?,600,0.000424,1440,54184,35563,78024960,0.557887,0.314111,NB,0.457467,Block
?,600,0.000424,1440,54184,35563,78024960,0.557887,0.314111,NB,0.457467,Block
?,600,0.000424,1440,54184,35563,78024960,0.557887,0.314111,NB,0.457467,Block
9,600,0.000424,1440,54184,35563,78024960,0.557887,0.314111,NB,0.457467,Block
9,600,0.000424,1440,54184,35563,78024960,0.557887,0.314111,NB,0.457467,Block
9,600,0.000424,1440,54184,29194,78024960,0.371768,0.417021,P NB,0.092942,NB-Wait
9,600,0.000424,1440,54184,29194,78024960,0.371768,0.417021,P NB,0.092942,NB-Wait
9,600,0.000424,1440,54184,29194,78024960,0.371768,0.417021,P NB,0.092942,NB-Wait
9,600,0.000424,1440,54184,29194,78024960,0.371768,0.417021,P NB,0.092942,NB-Wait
9,600,0.000424,1440,54184,29194,78024960,0.371768,0.417021,P NB,0.092942,NB-Wait
9,700,0.000425,1440,63284,30778,91128960,0.398805,0.464823,P NB,0.099701,NB-No Block
9,700,0.000425,1440,63284,30778,91128960,0.398805,0.464823,P NB,0.099701,NB-No Block
9,700,0.000425,1440,63284,30778,91128960,0.398805,0.464823,P NB,0.099701,NB-No Block
9,700,0.000425,1440,63284,30778,91128960,0.398805,0.464823,P NB,0.099701,NB-No Block
9,700,0.000425,1440,63284,30778,91128960,0.398805,0.464823,P NB,0.099701,NB-No Block
9,600,0.000426,1440,54184,24754,78024960,0.301521,0.469009,P NB,0.117593,NB-Wait
9,600,0.000426,1440,54184,24754,78024960,0.301521,0.469009,P NB,0.117593,NB-Wait
9,600,0.000426,1440,54184,24754,78024960,0.301521,0.469009,P NB,0.117593,NB-Wait
9,600,0.000426,1440,54184,24754,78024960,0.301521,0.469009,P NB,0.117593,NB-Wait
9,600,0.000426,1440,54184,24754,78024960,0.301521,0.469009,P NB,0.117593,NB-Wait
?,600,0.000426,1440,54184,12774,78024960,0.181529,0.737509,?,0.005446,NB-No Block
3,600,0.000426,1440,54184,12774,78024960,0.181529,0.737509,B,0.005446,NB-No Block
3,600,0.000426,1440,54184,12774,78024960,0.181529,0.737509,B,0.005446,NB-No Block
3,600,0.000426,1440,54184,12774,78024960,0.181529,0.737509,B,0.005446,NB-No Block
3,600,0.000426,1440,54184,12774,78024960,0.181529,0.737509,B,0.005446,NB-No Block
3,200,0.000426,1440,18096,7012,26058240,0.321616,0.529619,P NB,0.093269,NB-No Block
3,200,0.000426,1440,18096,7012,26058240,0.290617,0.560773,P NB,0.063936,NB-No Block
3,200,0.000426,1440,18096,7012,26058240,0.321616,0.529619,P NB,0.093269,NB-No Block
3,200,0.000426,1440,18096,7012,26058240,0.290617,0.560773,P NB,0.063936,NB-No Block
3,200,0.000426,1440,18096,7012,26058240,0.321616,0.529619,P NB,0.093269,NB-No Block
3,200,0.000426,1440,18096,7012,26058240,0.290617,0.560773,P NB,0.063936,NB-No Block
3,200,0.000426,1440,18096,7012,26058240,0.321616,0.529619,P NB,0.093269,NB-No Block
3,200,0.000426,1440,18096,7012,26058240,0.290617,0.560773,P NB,0.063936,NB-No Block
3,200,0.000426,1440,18096,7012,26058240,0.321616,0.529619,P NB,0.093269,NB-No Block
3,200,0.000426,1440,18096,7012,26058240,0.290617,0.560773,P NB,0.063936,NB-No Block
3,400,0.000427,1440,36140,22465,52041600,0.435127,0.326918,?,0.30894,NB-Wait
3,400,0.000427,1440,36140,22465,52041600,0.435127,0.326918,?,0.30894,NB-Wait
3,400,0.000427,1440,36140,22465,52041600,0.435127,0.326918,NB,0.30894,NB-Wait
3,400,0.000427,1440,36140,22465,52041600,0.435127,0.326918,NB,0.30894,NB-Wait
3,400,0.000427,1440,36140,22465,52041600,0.435127,0.326918,NB,0.30894,NB-Wait
3,600,0.000427,1440,54184,18029,78024960,0.272844,0.657442,?,0.057297,NB-No Block
3,600,0.000427,1440,54184,18029,78024960,0.272844,0.657442,P NB,0.057297,NB-No Block
3,600,0.000427,1440,54184,18029,78024960,0.272844,0.657442,P NB,0.057297,NB-No Block
3,600,0.000427,1440,54184,18029,78024960,0.272844,0.657442,P NB,0.057297,NB-No Block
3,600,0.000427,1440,54184,18029,78024960,0.272844,0.657442,P NB,0.057297,NB-No Block
3,400,0.000428,1440,36140,16310,52041600,0.374579,0.479469,P NB,0.112374,NB-Wait
3,400,0.000428,1440,36140,16310,52041600,0.374579,0.479469,P NB,0.112374,NB-Wait
3,400,0.000428,1440,36140,16310,52041600,0.374579,0.479469,P NB,0.112374,NB-Wait
3,400,0.000428,1440,36140,16310,52041600,0.374579,0.479469,P NB,0.112374,NB-Wait
3,400,0.000428,1440,36140,16310,52041600,0.374579,0.479469,P NB,0.112374,NB-Wait
3,600,0.000428,1440,54184,7497,78024960,0.101004,0.857745,B,?,No Block
3,600,0.000428,1440,54184,7497,78024960,0.102388,0.848993,B,?,No Block
3,600,0.000428,1440,54184,7497,78024960,0.101004,0.857745,B,?,No Block
3,600,0.000428,1440,54184,7497,78024960,0.102388,0.848993,B,?,No Block
3,600,0.000428,1440,54184,7497,78024960,0.101004,0.857745,B,?,No Block
3,600,0.000428,1440,54184,7497,78024960,0.102388,0.848993,B,?,No Block
3,600,0.000428,1440,54184,7497,78024960,0.101004,0.857745,B,?,No Block
3,600,0.000428,1440,54184,7497,78024960,0.102388,0.848993,B,?,No Block
3,600,0.000428,1440,54184,7497,78024960,0.101004,0.857745,B,?,No Block
3,600,0.000428,1440,54184,7497,78024960,0.102388,0.848993,B,?,No Block
3,600,0.00043,1440,54184,24006,78024960,0.350006,0.486524,P NB,0.084002,NB-Wait
3,600,0.00043,1440,54184,24006,78024960,0.350006,0.486524,P NB,0.084002,NB-Wait
3,600,0.00043,1440,54184,24006,78024960,0.350006,0.486524,P NB,0.084002,NB-Wait
3,600,0.00043,1440,54184,24006,78024960,0.350006,0.486524,P NB,0.084002,NB-Wait
3,600,0.00043,1440,54184,24006,78024960,0.350006,0.486524,P NB,0.084002,NB-Wait
3,300,0.00043,1440,27092,17558,39012480,0.505509,0.314622,NB,0.272975,NB-Wait
3,300,0.00043,1440,27092,17558,39012480,0.505509,0.314622,NB,0.272975,NB-Wait
3,300,0.00043,1440,27092,17558,39012480,0.505509,0.314622,NB,0.272975,NB-Wait
3,300,0.00043,1440,27092,17558,39012480,0.505509,0.314622,NB,0.272975,NB-Wait
3,300,0.00043,1440,27092,17558,39012480,0.505509,0.314622,NB,0.272975,NB-Wait
3,400,0.000432,1440,36140,13136,52041600,0.283511,0.575644,P NB,0.104899,NB-No Block
3,400,0.000432,1440,36140,13136,52041600,0.283511,0.575644,P NB,0.104899,NB-No Block
3,400,0.000432,1440,36140,13136,52041600,0.283511,0.575644,P NB,0.104899,NB-No Block
3,400,0.000432,1440,36140,13136,52041600,0.283511,0.575644,P NB,0.104899,NB-No Block
3,400,0.000432,1440,36140,13136,52041600,0.283511,0.575644,P NB,0.104899,NB-No Block
3,400,0.000433,1440,36140,23928,52041600,0.536294,0.29869,NB,0.332503,NB-Wait
3,400,0.000433,1440,36140,23928,52041600,0.536294,0.29869,NB,0.332503,NB-Wait
3,400,0.000433,1440,36140,23928,52041600,0.536294,0.29869,NB,0.332503,NB-Wait
3,400,0.000433,1440,36140,23928,52041600,0.536294,0.29869,NB,0.332503,NB-Wait
3,400,0.000433,1440,36140,23928,52041600,0.536294,0.29869,NB,0.332503,NB-Wait
9,700,0.000433,1440,63284,8497,91128960,0.081105,0.875772,B,?,No Block
?,700,0.000433,1440,63284,8497,91128960,0.081105,0.875772,B,?,No Block
?,700,0.000433,1440,63284,8497,91128960,0.081105,0.875772,B,?,No Block
?,700,0.000433,1440,63284,8497,91128960,0.081105,0.875772,B,?,No Block
?,700,0.000433,1440,63284,8497,91128960,0.081105,0.875772,?,?,No Block
3,600,0.000434,1440,54184,38712,78024960,0.492974,0.258156,NB,0.320433,NB-Wait
3,600,0.000434,1440,54184,38712,78024960,0.492974,0.258156,NB,0.320433,NB-Wait
3,600,0.000434,1440,54184,38712,78024960,0.492974,0.258156,NB,0.320433,NB-Wait
3,600,0.000434,1440,54184,38712,78024960,0.492974,0.258156,NB,0.320433,NB-Wait
3,600,0.000434,1440,54184,38712,78024960,0.492974,0.258156,NB,0.320433,NB-Wait
?,600,0.000434,1440,54184,33969,78024960,0.438844,0.322081,?,0.285248,NB-Wait
?,600,0.000434,1440,54184,33969,78024960,0.438844,0.322081,NB,0.285248,NB-Wait
?,600,0.000434,1440,54184,33969,78024960,0.438844,0.322081,NB,0.285248,NB-Wait
9,600,0.000434,1440,54184,33969,78024960,0.438844,0.322081,NB,0.285248,NB-Wait
9,600,0.000434,1440,54184,33969,78024960,0.438844,0.322081,NB,0.285248,NB-Wait
?,500,0.000434,1440,45188,10860,65070720,0.185054,0.748117,B,0.011103,NB-No Block
3,500,0.000434,1440,45188,10860,65070720,0.185054,0.748117,B,0.011103,NB-No Block
3,500,0.000434,1440,45188,10860,65070720,0.185054,0.748117,B,0.011103,NB-No Block
3,500,0.000434,1440,45188,10860,65070720,0.185054,0.748117,B,0.011103,NB-No Block
3,500,0.000434,1440,45188,10860,65070720,0.185054,0.748117,B,0.011103,NB-No Block
3,600,0.000436,1440,54184,34398,78024960,0.526915,0.330079,NB,0.500569,Block
3,600,0.000436,1440,54184,34398,78024960,0.526915,0.330079,NB,0.500569,Block
3,600,0.000436,1440,54184,34398,78024960,0.526915,0.330079,NB,0.500569,Block
3,600,0.000436,1440,54184,34398,78024960,0.526915,0.330079,NB,0.500569,Block
3,600,0.000436,1440,54184,34398,78024960,0.526915,0.330079,NB,0.500569,Block
3,600,0.000436,1440,54184,24864,78024960,0.367105,0.467256,P NB,0.146842,NB-No Block
3,600,0.000436,1440,54184,24864,78024960,0.367105,0.467256,P NB,0.146842,NB-No Block
3,600,0.000436,1440,54184,24864,78024960,0.367105,0.467256,P NB,0.146842,NB-No Block
3,600,0.000436,1440,54184,24864,78024960,0.367105,0.467256,P NB,0.146842,NB-No Block
3,600,0.000436,1440,54184,24864,78024960,0.367105,0.467256,P NB,0.146842,NB-No Block
3,500,0.000437,1440,45188,27579,65070720,0.427222,0.355813,NB,0.311872,NB-Wait
3,500,0.000437,1440,45188,27579,65070720,0.427222,0.355813,NB,0.311872,NB-Wait
3,500,0.000437,1440,45188,27579,65070720,0.427222,0.355813,NB,0.311872,NB-Wait
3,500,0.000437,1440,45188,27579,65070720,0.427222,0.355813,NB,0.311872,NB-Wait
3,500,0.000437,1440,45188,27579,65070720,0.427222,0.355813,NB,0.311872,NB-Wait
3,500,0.000438,1440,45188,20325,65070720,0.314851,0.486086,P NB,0.088158,NB-Wait
3,500,0.000438,1440,45188,20325,65070720,0.314851,0.486086,P NB,0.088158,NB-Wait
3,500,0.000438,1440,45188,20325,65070720,0.314851,0.486086,P NB,0.088158,NB-Wait
3,500,0.000438,1440,45188,20325,65070720,0.314851,0.486086,P NB,0.088158,NB-Wait
3,500,0.000438,1440,45188,20325,65070720,0.314851,0.486086,P NB,0.088158,NB-Wait
3,500,0.000438,1440,45188,17894,65070720,0.265313,0.545621,B,0.053063,NB-Wait
3,500,0.000438,1440,45188,17894,65070720,0.265313,0.545621,B,0.053063,NB-Wait
3,500,0.000438,1440,45188,17894,65070720,0.265313,0.545621,B,0.053063,NB-Wait
3,500,0.000438,1440,45188,17894,65070720,0.265313,0.545621,B,0.053063,NB-Wait
3,500,0.000438,1440,45188,17894,65070720,0.265313,0.545621,?,0.053063,NB-Wait
3,500,0.000443,1440,45188,6937,65070720,0.108995,0.850883,B,?,No Block
3,500,0.000443,1440,45188,6937,65070720,0.101319,0.816504,B,?,No Block
3,500,0.000443,1440,45188,6937,65070720,0.108995,0.850883,B,?,No Block
3,500,0.000443,1440,45188,6937,65070720,0.101319,0.816504,B,?,No Block
3,500,0.000443,1440,45188,6937,65070720,0.108995,0.850883,B,?,No Block
3,500,0.000443,1440,45188,6937,65070720,0.101319,0.816504,B,?,No Block
3,500,0.000443,1440,45188,6937,65070720,0.108995,0.850883,B,?,No Block
3,500,0.000443,1440,45188,6937,65070720,0.101319,0.816504,B,?,No Block
3,500,0.000443,1440,45188,6937,65070720,0.108995,0.850883,B,?,No Block
3,500,0.000443,1440,45188,6937,65070720,0.101319,0.816504,B,?,No Block
3,300,0.000445,1440,27092,16711,39012480,0.474955,0.342573,NB,0.327719,NB-Wait
3,300,0.000445,1440,27092,16711,39012480,0.474955,0.342573,NB,0.327719,NB-Wait
3,300,0.000445,1440,27092,16711,39012480,0.474955,0.342573,NB,0.327719,NB-Wait
3,300,0.000445,1440,27092,16711,39012480,0.474955,0.342573,NB,0.327719,NB-Wait
3,300,0.000445,1440,27092,16711,39012480,0.474955,0.342573,NB,0.327719,NB-Wait
3,300,0.000446,1440,27092,8776,39012480,0.265625,0.679982,B,0.013281,NB-Wait
3,300,0.000446,1440,27092,8776,39012480,0.265625,0.679982,B,0.013281,NB-Wait
3,300,0.000446,1440,27092,8776,39012480,0.265625,0.679982,B,0.013281,NB-Wait
3,300,0.000446,1440,27092,8776,39012480,0.265625,0.679982,B,0.013281,NB-Wait
3,300,0.000446,1440,27092,8776,39012480,0.265625,0.679982,?,0.013281,NB-Wait
9,700,0.000449,1440,63284,17475,91128960,0.215386,0.713896,B,0.043077,NB-No Block
?,700,0.000449,1440,63284,17475,91128960,0.215386,0.713896,B,0.043077,NB-No Block
?,700,0.000449,1440,63284,17475,91128960,0.215386,0.713896,B,0.043077,NB-No Block
?,700,0.000449,1440,63284,17475,91128960,0.215386,0.713896,B,0.043077,NB-No Block
?,700,0.000449,1440,63284,17475,91128960,0.215386,0.713896,?,0.043077,NB-No Block
9,900,0.000451,1440,81276,21664,117037440,0.175922,0.714996,B,0.031666,NB-No Block
?,900,0.000451,1440,81276,21664,117037440,0.175922,0.714996,B,0.031666,NB-No Block
?,900,0.000451,1440,81276,21664,117037440,0.175922,0.714996,B,0.031666,NB-No Block
?,900,0.000451,1440,81276,21664,117037440,0.175922,0.714996,B,0.031666,NB-No Block
?,900,0.000451,1440,81276,21664,117037440,0.175922,0.714996,B,0.031666,NB-No Block
3,400,0.000451,1440,36140,16718,52041600,0.300683,0.485982,P NB,0.069157,NB-Wait
3,400,0.000451,1440,36140,16718,52041600,0.300683,0.485982,P NB,0.069157,NB-Wait
3,400,0.000451,1440,36140,16718,52041600,0.300683,0.485982,P NB,0.069157,NB-Wait
3,400,0.000451,1440,36140,16718,52041600,0.300683,0.485982,P NB,0.069157,NB-Wait
3,400,0.000451,1440,36140,16718,52041600,0.300683,0.485982,P NB,0.069157,NB-Wait
9,400,0.000453,1440,36140,5391,52041600,0.111877,0.847244,B,?,No Block
?,400,0.000453,1440,36140,5391,52041600,0.101436,0.847244,B,?,No Block
?,400,0.000453,1440,36140,5391,52041600,0.111877,0.847244,B,?,No Block
?,400,0.000453,1440,36140,5391,52041600,0.101436,0.847244,B,?,No Block
?,400,0.000453,1440,36140,5391,52041600,0.111877,0.847244,B,?,No Block
?,400,0.000453,1440,36140,5391,52041600,0.101436,0.847244,B,?,No Block
?,400,0.000453,1440,36140,5391,52041600,0.111877,0.847244,B,?,No Block
?,400,0.000453,1440,36140,5391,52041600,0.101436,0.847244,B,?,No Block
?,400,0.000453,1440,36140,5391,52041600,0.111877,0.847244,?,?,No Block
?,400,0.000453,1440,36140,5391,52041600,0.101436,0.847244,B,?,No Block
3,200,0.000455,1440,18096,11689,26058240,0.452161,0.306335,NB,0.284861,NB-Wait
3,200,0.000455,1440,18096,11689,26058240,0.452161,0.306335,NB,0.284861,NB-Wait
3,200,0.000455,1440,18096,11689,26058240,0.452161,0.306335,NB,0.284861,NB-Wait
3,200,0.000455,1440,18096,11689,26058240,0.452161,0.306335,NB,0.284861,NB-Wait
3,200,0.000455,1440,18096,11689,26058240,0.452161,0.306335,NB,0.284861,NB-Wait
?,400,0.000457,1440,36140,26674,52041600,0.538794,0.228911,NB,0.312501,NB-No Block
?,400,0.000457,1440,36140,26674,52041600,0.538794,0.228911,NB,0.312501,NB-No Block
?,400,0.000457,1440,36140,26674,52041600,0.538794,0.228911,NB,0.312501,NB-No Block
9,400,0.000457,1440,36140,26674,52041600,0.538794,0.228911,NB,0.312501,NB-No Block
9,400,0.000457,1440,36140,26674,52041600,0.538794,0.228911,NB,0.312501,NB-No Block
3,200,0.000458,1440,18096,11067,26058240,0.415869,0.351889,NB,0.237045,NB-No Block
3,200,0.000458,1440,18096,11067,26058240,0.415869,0.351889,NB,0.237045,NB-No Block
3,200,0.000458,1440,18096,11067,26058240,0.415869,0.351889,NB,0.237045,NB-No Block
3,200,0.000458,1440,18096,11067,26058240,0.415869,0.351889,NB,0.237045,NB-No Block
3,200,0.000458,1440,18096,11067,26058240,0.415869,0.351889,NB,0.237045,NB-No Block
3,300,0.000468,1440,27092,12711,39012480,0.31435,0.463787,P NB,0.097448,NB-Wait
3,300,0.000468,1440,27092,12711,39012480,0.31435,0.463787,P NB,0.097448,NB-Wait
3,300,0.000468,1440,27092,12711,39012480,0.31435,0.463787,P NB,0.097448,NB-Wait
